scanner,control,status,actual_value,required_value,nist_control,soc2_control,iso_control,remediation
PasswordPolicy,MinimumPasswordLength,NON_COMPLIANT,10,14,IA-5(1)(a),CC6.6,A.9.4.3,Set minimum password length to at least 14 characters
PasswordPolicy,RequireSymbols,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireNumbers,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireUppercaseCharacters,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireLowercaseCharacters,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,MaxPasswordAge,NON_COMPLIANT,Not set,90,IA-5(1)(d),CC6.6,A.9.4.3,Set password expiration to 90 days or fewer
PasswordPolicy,PasswordReusePrevention,NON_COMPLIANT,5,12,IA-5(1)(e),CC6.6,A.9.4.3,Prevent reuse of the last 12 passwords
PasswordPolicy,AllowUsersToChangePassword,COMPLIANT,True,True,IA-5,CC6.6,A.9.4.3,No action required
PasswordPolicy,HardExpiry,COMPLIANT,False,False,IA-5(1)(d),CC6.6,A.9.4.3,No action required
MFAEnforcement,MFA enabled for annie.crane,NON_COMPLIANT,No MFA device,MFA device required for console users,IA-2(1),CC6.1,A.9.4.2,Enable MFA for IAM user 'annie.crane' via the AWS Console or CLI
MFAEnforcement,MFA enabled for christian.thomsen,NON_COMPLIANT,No MFA device,MFA device required for console users,IA-2(1),CC6.1,A.9.4.2,Enable MFA for IAM user 'christian.thomsen' via the AWS Console or CLI
MFAEnforcement,MFA enabled for david.garcia,NON_COMPLIANT,No MFA device,MFA device required for console users,IA-2(1),CC6.1,A.9.4.2,Enable MFA for IAM user 'david.garcia' via the AWS Console or CLI
MFAEnforcement,MFA enabled for mary.chen,NON_COMPLIANT,No MFA device,MFA device required for console users,IA-2(1),CC6.1,A.9.4.2,Enable MFA for IAM user 'mary.chen' via the AWS Console or CLI
MFAEnforcement,MFA enabled for sarah.jordan,NON_COMPLIANT,No MFA device,MFA device required for console users,IA-2(1),CC6.1,A.9.4.2,Enable MFA for IAM user 'sarah.jordan' via the AWS Console or CLI
RootActivity,Root account activity (last 90 days),NON_COMPLIANT,50 root event(s) detected — most recent: 2026-04-14 18:25:18 UTC,0 root account events in last 90 days,AC-2(5),CC6.2,A.9.2.3,Investigate root account usage. Use IAM roles instead of root for all operations. Enable root account MFA if not already set.
